sample	HQ reads	HQ reads mapped to reference	percent reads mapped to reference	# ./. genotypes	# 0/0 genotypes	# 0/1 genotypes	# 1/1 genotypes	
LA4	4016262	2855064	71%	3652	12776	2958	3427	
LA12	4843244	3499081	72%	1996	13609	3840	3368	
LA20	4349144	3028376	69%	2751	13258	3366	3438	
LE8	4426742	3375546	76%	2152	13763	3563	3335	
LE16	4516379	3396096	75%	2177	14095	3520	3021	
NT4	3820440	2778470	72%	3296	12805	3701	3011	
NT12	4417083	2993501	67%	2502	13332	3909	3070	
WT5	2948133	1191789	40%	5721	11436	2377	3279	
WT13	3368325	512667	15%	11577	7408	1654	2174	
SWT1	3790280	2511330	66%	2928	12918	3879	3088	
SWT9	4228936	3172530	75%	1920	13803	4058	3032	
SWT17	4883660	3764766	77%	1954	13678	4151	3030	
LA5	4305841	3048765	70%	2617	13342	3664	3190	
LA13	3897942	2859634	73%	2786	13126	3805	3096	
LE1	4042765	2768119	68%	3032	13550	3209	3022	
LE9	3891833	2816546	72%	2684	13046	3710	3373	
LE17	4335745	3040551	70%	2506	13007	3574	3726	
NT5	3961069	2938388	74%	2979	13550	3511	2773	
NT13	4307124	2974464	69%	2835	13128	3616	3234	
WT6	3529592	2517869	71%	2903	13467	2747	3696	
WT14	3673538	1496915	40%	4814	12180	2391	3428	
SWT2	3969888	2683630	67%	2642	13473	3503	3195	
SWT10	4623003	3355100	72%	1977	13707	4187	2942	
SWT18	4811867	3394376	70%	2438	13524	3833	3018	
LA6	5311580	3962698	74%	2190	13863	3489	3271	
LA14	4865355	3718301	76%	1760	13726	4013	3314	
LE2	5194456	3908435	75%	1564	13795	3974	3480	
LE10	5253473	4101679	78%	1572	14030	4010	3201	
LE18	5530790	4248848	76%	1753	14245	3427	3388	
NT6	5171452	3663879	70%	2694	13402	3644	3073	
NT14	5447026	4007341	73%	2110	13539	4060	3104	
WT7	4831542	3058725	63%	2290	13706	2465	4352	
WT15	4351179	2363110	54%	2787	13604	2688	3734	
SWT3	4971490	3853789	77%	1492	13930	4204	3187	
SWT11	5377897	4146418	77%	1656	13944	4005	3208	
SWT19	5636711	4097523	72%	1687	13606	4503	3017	
LA7	5429759	3936537	72%	2527	13610	3255	3421	
LA15	5038881	3680142	73%	1925	13892	3498	3498	
LE3	5268626	4040674	76%	2533	13963	2748	3569	
LE11	5169626	3847916	74%	2067	14493	3318	2935	
LE19	5315906	3785835	71%	1661	13744	4390	3018	
NT7	4760968	3482693	73%	2385	13391	3957	3080	
NT15	5634420	3949266	70%	2699	13255	3789	3070	
WT8	4483038	3060967	68%	2519	13484	2781	4029	
WT16	4275822	1481871	34%	4955	11879	2717	3262	
SWT4	4917792	3651883	74%	2029	13303	3943	3538	
SWT12	5409993	4128483	76%	2141	13050	3985	3637	
SWT20	5502414	3871869	70%	1900	13451	3974	3488	
LA8	4346073	3176020	73%	3186	13405	3218	3004	
LA16	4632934	3201549	69%	2714	13345	3128	3626	
LE4	5238844	3913103	74%	2282	13894	3280	3357	
LE12	4782276	3568327	74%	2501	13374	3777	3161	
LE20	5057428	3414081	67%	2328	13569	3423	3493	
NT8	4452207	3221289	72%	2916	13042	3820	3035	
WT1	4852999	3516681	72%	2440	13643	2495	4235	
WT9	4504419	1981772	43%	3556	12833	2242	4182	
WT17	4807008	2553766	53%	2809	12734	3500	3770	
SWT5	4810061	3544740	73%	2417	13566	3834	2996	
SWT13	5044277	3499325	69%	2678	13710	2870	3555	
S3_5	3481126	2672180	76%	3509	12553	3549	3202	
KR1	1463365	1113430	76%	8149	9847	2391	2426	
KR2	3756012	2924788	77%	2774	12874	3820	3345	
KR3	3561566	2729271	76%	3514	12829	3011	3459	
KR4	4389232	3469199	79%	2326	13395	3658	3434	
KR5	3758429	2999298	79%	2771	13167	3916	2959	
S3_1	4911184	3765739	76%	2632	13317	3358	3506	
S3_2	4338591	3450605	79%	2439	14010	3084	3280	
s3_3	5055716	4042091	79%	2470	13414	3692	3237	
S3_4	3482008	2768523	79%	3134	12978	3544	3157	
